airline,origin,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancelled_flights,cancellation_rate,active_months
9E,ABE,147,-44.0,438.0,2.8276,1,0.006803,1,2
9E,ABY,7,-15.0,321.0,54.7143,0,0.0,1,2
9E,AEX,114,-34.0,598.0,8.9107,2,0.017544,1,2
9E,AGS,145,-36.0,784.0,16.4483,0,0.0,1,2
9E,ALB,180,-51.0,223.0,-7.7688,7,0.038889,1,2
9E,ATL,4291,-43.0,953.0,6.9187,66,0.015381,1,2
9E,ATW,22,-34.0,167.0,9.0,0,0.0,1
9E,AUS,95,-28.0,469.0,17.7447,1,0.010526,1,2
9E,AVL,74,-36.0,207.0,-3.5135,0,0.0,1,2
9E,AZO,14,-22.0,71.0,-2.9286,0,0.0,1
