airline,origin,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancelled_flights,cancellation_rate,active_months
9E,ABE,1446,-47.0,575.0,-0.0014,16,0.011065,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ABY,46,-32.0,321.0,11.9783,0,0.0,"1,11,12,2,3"
9E,AEX,1190,-34.0,979.0,8.7029,11,0.009244,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,AGS,2212,-36.0,1091.0,6.9251,33,0.014919,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ALB,1639,-51.0,394.0,-5.181,29,0.017694,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL,37532,-43.0,1207.0,2.5427,368,0.009805,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATW,310,-34.0,420.0,5.411,0,0.0,"1,10,4,5,6,7,8,9"
9E,AUS,699,-35.0,1225.0,14.5733,3,0.004292,"1,11,2,3,4,5,6,7"
9E,AVL,897,-43.0,949.0,3.0945,14,0.015608,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,AZO,28,-22.0,71.0,-2.9286,0,0.0,1
